"Day","Cash On Hand"
0,3500000
1,3487400
2,3343180
3,1420500
4,1059120
5,1027740
6,657660
7,417545
8,151574
9,121848
10,246068
11,395316
12,252904
13,191697
14,213743
15,429933
16,62793
17,111095
18,188335
19,418052
20,343871
21,213640
22,346112
23,265550
24,420165
25,145959
26,340879
27,298798
28,355733
29,551630
30,125332
31,526456
32,1612301
33,1765202
34,3484430
35,1345130
36,1401770
37,1180699
38,2145554
39,1793060
40,2198789
41,4281801
42,4066301
43,5582964
44,5660401
45,6163322
46,6361877
47,5801585
48,5640085
49,6657761
50,7356828
51,7376585
52,7968502
53,7998390
54,8263153
55,8480376
56,8202669
57,8346329
58,8232552
59,8270559
60,8444613
61,8690980
62,7774622
63,7911218
64,7512005
65,7492380
66,7990811
67,8291878
68,9050853
69,9058599
70,7592473
71,7093248
72,8028142
73,7938880
74,7874727
75,7901866
76,8436942
77,7752491
78,8263816
79,9243597
80,10201213
81,9400591
82,9531984
83,10421487
84,9127179
85,9426863
86,8996090
87,9017409
88,9466070
89,9931010
90,9861939
