"Day","Sales","Trading Profit","Operating Expense","Net Profit"
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,156820,-156820
3,0,0,317500,-317500
4,0,0,393880,-393880
5,0,0,440260,-440260
6,0,0,530340,-530340
7,0,-10234,642855,-653089
8,74499,-233067,703245,-936312
9,81152,-289483,759624,-1049107
10,2762452,1033650,836704,196946
11,2936123,1132194,895487,236707
12,4437704,1989783,1014480,975303
13,4619777,2105465,1204464,901001
14,4803597,2226473,1391238,835235
15,5744240,2653775,1515691,1138084
16,5856847,2646992,1604767,1042225
17,5967300,2666125,1691918,974207
18,6103165,2710847,1775543,935304
19,8680690,3670749,1882726,1788023
20,10309940,4333460,1995037,2338423
21,10449304,4416495,2162108,2254387
22,10669168,4570006,2274500,2295506
23,10813623,4655349,2380767,2274582
24,11051097,4835618,2488626,2346992
25,11486620,4999650,2598355,2401295
26,11837025,5248210,2699640,2548570
27,13614297,5945330,2825243,3120087
28,15195800,6433132,3001085,3432047
29,15755839,6639379,3135836,3503543
30,16369746,6716532,3263541,3452991
31,17022964,6796529,3367835,3428694
32,18849389,7652534,3457575,4194959
33,19080320,7811393,3560605,4250788
34,20864310,8508859,3650367,4858492
35,20985862,8562125,3787147,4774978
36,21102207,8600324,3871852,4728472
37,21791977,9074897,4003669,5071228
38,22991851,9666799,4080232,5586567
39,24516637,10363977,4167575,6196402
40,25087682,10608852,4261411,6347441
41,27301825,11212506,4417542,6794964
42,28252579,11510985,4576921,6934064
43,29857803,12119516,4690482,7429034
44,31098200,12513230,4795454,7717776
45,31954876,12778515,4911769,7866746
46,32224462,12999129,5007800,7991329
47,33193201,13311666,5103831,8207835
48,33263894,13154570,5216880,7937690
49,34539118,13458541,5439524,8019017
50,35333926,13595589,5560265,8035324
51,35405448,13635546,5637030,7998516
52,36479856,14136995,5732402,8404593
53,36566484,14186672,5814142,8372530
54,36895123,14346615,5903018,8443597
55,37197663,14576367,6013335,8563032
56,37423405,14750002,6152672,8597330
57,37676734,14911674,6229993,8681681
58,37837617,15037801,6309333,8728468
59,37927985,14964002,6386694,8577308
60,38182897,15119433,6492552,8626881
61,38578990,15295073,6667278,8627795
62,38752117,15383560,6785463,8598097
63,39027119,15443858,6938869,8504989
64,39104904,15485315,7027297,8458018
65,39179575,15520929,7131593,8389336
66,39770680,15875413,7229267,8646146
67,40150240,16097490,7312760,8784730
68,41054328,16424189,7396273,9027916
69,41159670,16499038,7498869,9000169
70,41266299,16666313,7644424,9021889
71,41371206,16761981,7734856,9027125
72,42403737,16748794,7832493,8916301
73,42651247,16902936,7987931,8915005
74,42757464,16959798,8158301,8801497
75,43734143,16866179,8237665,8628514
76,44392829,17150582,8361275,8789307
77,44675625,17269697,8506162,8763535
78,45281847,17718143,8601059,9117084
79,46351889,17981098,8691320,9289778
80,47512159,18364813,8771334,9593479
81,47941979,18625330,8854336,9770994
82,48313770,18796999,8939334,9857665
83,49337576,18846558,9073637,9772921
84,49436205,18911792,9220014,9691778
85,49822289,19267137,9306414,9960723
86,49907761,19245071,9390884,9854187
87,50541566,19302558,9499354,9803204
88,51195935,19370481,9636182,9734299
89,51801716,19484805,9777023,9707782
90,51908000,19543139,9878578,9664561
